Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D59_64,D1608[0603]S,120.0018mm,63.0244mm,120.0018mm,63.0244mm,120.5321mm,63.5547mm,T,225,LED
D60_64,D1608[0603]S,121.983mm,63.0244mm,121.983mm,63.0244mm,122.5133mm,63.5547mm,T,225,LED
D61_64,D1608[0603]S,123.9642mm,63.0244mm,123.9642mm,63.0244mm,124.4945mm,63.5547mm,T,225,LED
D62_64,D1608[0603]S,125.9454mm,63.0244mm,125.9454mm,63.0244mm,126.4757mm,63.5547mm,T,225,LED
D63_64,D1608[0603]S,127.9266mm,63.0244mm,127.9266mm,63.0244mm,128.4569mm,63.5547mm,T,225,LED
D64_64,D1608[0603]S,129.9078mm,63.0244mm,129.9078mm,63.0244mm,130.4381mm,63.5547mm,T,225,LED
D1_63,D1608[0603]S,5.0922mm,65.0056mm,5.0922mm,65.0056mm,5.6225mm,65.5359mm,T,225,LED
D2_63,D1608[0603]S,7.0734mm,65.0056mm,7.0734mm,65.0056mm,7.6037mm,65.5359mm,T,225,LED
D3_63,D1608[0603]S,9.0546mm,65.0056mm,9.0546mm,65.0056mm,9.5849mm,65.5359mm,T,225,LED
D4_63,D1608[0603]S,11.0358mm,65.0056mm,11.0358mm,65.0056mm,11.5661mm,65.5359mm,T,225,LED
D5_63,D1608[0603]S,13.017mm,65.0056mm,13.017mm,65.0056mm,13.5473mm,65.5359mm,T,225,LED
D6_63,D1608[0603]S,14.9982mm,65.0056mm,14.9982mm,65.0056mm,15.5285mm,65.5359mm,T,225,LED
D7_63,D1608[0603]S,16.9794mm,65.0056mm,16.9794mm,65.0056mm,17.5097mm,65.5359mm,T,225,LED
D8_63,D1608[0603]S,18.9606mm,65.0056mm,18.9606mm,65.0056mm,19.4909mm,65.5359mm,T,225,LED
D9_63,D1608[0603]S,20.9418mm,65.0056mm,20.9418mm,65.0056mm,21.4721mm,65.5359mm,T,225,LED
D10_63,D1608[0603]S,22.923mm,65.0056mm,22.923mm,65.0056mm,23.4533mm,65.5359mm,T,225,LED
D11_63,D1608[0603]S,24.9042mm,65.0056mm,24.9042mm,65.0056mm,25.4345mm,65.5359mm,T,225,LED
D12_63,D1608[0603]S,26.8854mm,65.0056mm,26.8854mm,65.0056mm,27.4157mm,65.5359mm,T,225,LED
D13_63,D1608[0603]S,28.8666mm,65.0056mm,28.8666mm,65.0056mm,29.3969mm,65.5359mm,T,225,LED
D14_63,D1608[0603]S,30.8478mm,65.0056mm,30.8478mm,65.0056mm,31.3781mm,65.5359mm,T,225,LED
D15_63,D1608[0603]S,32.829mm,65.0056mm,32.829mm,65.0056mm,33.3593mm,65.5359mm,T,225,LED
D16_63,D1608[0603]S,34.8102mm,65.0056mm,34.8102mm,65.0056mm,35.3405mm,65.5359mm,T,225,LED
D17_63,D1608[0603]S,36.7914mm,65.0056mm,36.7914mm,65.0056mm,37.3217mm,65.5359mm,T,225,LED
D18_63,D1608[0603]S,38.7726mm,65.0056mm,38.7726mm,65.0056mm,39.3029mm,65.5359mm,T,225,LED
D19_63,D1608[0603]S,40.7538mm,65.0056mm,40.7538mm,65.0056mm,41.2841mm,65.5359mm,T,225,LED
D20_63,D1608[0603]S,42.735mm,65.0056mm,42.735mm,65.0056mm,43.2653mm,65.5359mm,T,225,LED
D21_63,D1608[0603]S,44.7162mm,65.0056mm,44.7162mm,65.0056mm,45.2465mm,65.5359mm,T,225,LED
D22_63,D1608[0603]S,46.6974mm,65.0056mm,46.6974mm,65.0056mm,47.2277mm,65.5359mm,T,225,LED
D23_63,D1608[0603]S,48.6786mm,65.0056mm,48.6786mm,65.0056mm,49.2089mm,65.5359mm,T,225,LED
D24_63,D1608[0603]S,50.6598mm,65.0056mm,50.6598mm,65.0056mm,51.1901mm,65.5359mm,T,225,LED
D25_63,D1608[0603]S,52.641mm,65.0056mm,52.641mm,65.0056mm,53.1713mm,65.5359mm,T,225,LED
D26_63,D1608[0603]S,54.6222mm,65.0056mm,54.6222mm,65.0056mm,55.1525mm,65.5359mm,T,225,LED
D27_63,D1608[0603]S,56.6034mm,65.0056mm,56.6034mm,65.0056mm,57.1337mm,65.5359mm,T,225,LED
D28_63,D1608[0603]S,58.5846mm,65.0056mm,58.5846mm,65.0056mm,59.1149mm,65.5359mm,T,225,LED
D29_63,D1608[0603]S,60.5658mm,65.0056mm,60.5658mm,65.0056mm,61.0961mm,65.5359mm,T,225,LED
D30_63,D1608[0603]S,62.547mm,65.0056mm,62.547mm,65.0056mm,63.0773mm,65.5359mm,T,225,LED
D31_63,D1608[0603]S,64.5282mm,65.0056mm,64.5282mm,65.0056mm,65.0585mm,65.5359mm,T,225,LED
D32_63,D1608[0603]S,66.5094mm,65.0056mm,66.5094mm,65.0056mm,67.0397mm,65.5359mm,T,225,LED
D33_63,D1608[0603]S,68.4906mm,65.0056mm,68.4906mm,65.0056mm,69.0209mm,65.5359mm,T,225,LED
D34_63,D1608[0603]S,70.4718mm,65.0056mm,70.4718mm,65.0056mm,71.0021mm,65.5359mm,T,225,LED
D35_63,D1608[0603]S,72.453mm,65.0056mm,72.453mm,65.0056mm,72.9833mm,65.5359mm,T,225,LED
D36_63,D1608[0603]S,74.4342mm,65.0056mm,74.4342mm,65.0056mm,74.9645mm,65.5359mm,T,225,LED
D37_63,D1608[0603]S,76.4154mm,65.0056mm,76.4154mm,65.0056mm,76.9457mm,65.5359mm,T,225,LED
D38_63,D1608[0603]S,78.3966mm,65.0056mm,78.3966mm,65.0056mm,78.9269mm,65.5359mm,T,225,LED
D39_63,D1608[0603]S,80.3778mm,65.0056mm,80.3778mm,65.0056mm,80.9081mm,65.5359mm,T,225,LED
D40_63,D1608[0603]S,82.359mm,65.0056mm,82.359mm,65.0056mm,82.8893mm,65.5359mm,T,225,LED
D41_63,D1608[0603]S,84.3402mm,65.0056mm,84.3402mm,65.0056mm,84.8705mm,65.5359mm,T,225,LED
D42_63,D1608[0603]S,86.3214mm,65.0056mm,86.3214mm,65.0056mm,86.8517mm,65.5359mm,T,225,LED
D43_63,D1608[0603]S,88.3026mm,65.0056mm,88.3026mm,65.0056mm,88.8329mm,65.5359mm,T,225,LED
D44_63,D1608[0603]S,90.2838mm,65.0056mm,90.2838mm,65.0056mm,90.8141mm,65.5359mm,T,225,LED
D45_63,D1608[0603]S,92.265mm,65.0056mm,92.265mm,65.0056mm,92.7953mm,65.5359mm,T,225,LED
D46_63,D1608[0603]S,94.2462mm,65.0056mm,94.2462mm,65.0056mm,94.7765mm,65.5359mm,T,225,LED
D47_63,D1608[0603]S,96.2274mm,65.0056mm,96.2274mm,65.0056mm,96.7577mm,65.5359mm,T,225,LED
